x,y
539.8194,0.080425523
539.95624,0.065764733
540.09308,0.046576947
540.22986,0.033634737
540.3667,0.019190457
540.50354,0.0052585085
540.64038,0.00077066128
540.77722,-0.0032187984
540.91406,-0.0072083659
541.0509,-0.0086769834
541.18774,-0.0017026737
541.32458,0.0042062122
541.46143,0.0091612255
541.59827,0.020160813
541.73511,0.030357119
541.87195,0.04055262
542.00873,0.050650604
542.14557,0.065741591
542.28241,0.081996776
542.41925,0.09825255
542.55609,0.118561
542.69293,0.14312223
542.82977,0.16753764
542.96661,0.190173
543.10345,0.20371123
543.2403,0.22245808
543.37714,0.24120484
543.51398,0.2588478
543.65082,0.27062306
543.78766,0.27927339
543.92444,0.2879245
544.06128,0.29631102
544.19812,0.30495471
544.33496,0.31360036
544.4718,0.3212322
544.60864,0.32394099
544.74548,0.32501197
544.88232,0.32608142
545.01917,0.31846303
545.15601,0.31009987
545.29285,0.30248958
545.42969,0.29715273
545.56653,0.30489585
545.70337,0.31280753
545.84015,0.3207193
545.97699,0.32743299
546.11383,0.32683784
546.25067,0.32805946
546.38751,0.32928163
546.52435,0.33287069
546.66119,0.33579797
546.79803,0.3390772
546.93488,0.34872797
547.07172,0.37071201
547.20856,0.3896994
547.3454,0.40868592
547.48224,0.41371033
547.61902,0.41294318
547.75586,0.41317546
547.8927,0.41330445
548.02954,0.40355685
548.16638,0.38854876
548.30322,0.37354058
548.44006,0.35900074
548.5769,0.34413868
548.71375,0.33251217
548.85059,0.32088482
548.98743,0.30761337
549.12427,0.2934145
549.26111,0.28015673
549.39795,0.26793277
549.53473,0.25683969
549.67157,0.24583696
549.80841,0.23483406
549.94525,0.22467256
550.08209,0.21567313
550.21893,0.20764129
550.35577,0.19965254
550.49261,0.18882814
550.62946,0.18083353
550.7663,0.17283879
550.90314,0.16727084
551.03998,0.16244039
551.17682,0.15687495
551.3136,0.15130819
551.45044,0.14393187
551.58728,0.13612662
551.72412,0.12880717
551.86096,0.12353526
551.9978,0.11907335
552.13464,0.11355016
552.27148,0.10802682
552.40833,0.10158236
552.54517,0.097239785
552.68201,0.093545467
552.81885,0.089658581
552.95569,0.084890991
553.09253,0.077560365
553.22931,0.070230499
553.36615,0.064751342
553.50299,0.062868863
553.63983,0.062193088
553.77667,0.061517168
553.91351,0.062605001
554.05035,0.060772836
554.18719,0.059234038
554.32404,0.057863124
554.46088,0.056374926
554.59772,0.053961404
554.73456,0.051547736
